rank,model,embedding_model,chunk_size,chunk_overlap,chunk_strategy,source,top_k,doc_prefix,query_prefix,path_at_k,anchor_at_k,mrr_path,mrr_anchor,best_ov,lat_ms,ERS,combo_name,run_source
12,allMiniLM,sentence-transformers/all-MiniLM-L6-v2,2000,200,word,both,5,passage: ,passage: ,0.7891566265060241,0.7469879518072289,0.6224899598393573,0.5898594377510039,0.7469879518072289,11.241216867469879,0.713885542169,all-MiniLM-L6-v2_word_chunk2000_overlap200_both,G:\LLM_for_DUNE\dune_gpt\benchmarking\matrix_runs\local_embedding_24combo_paired_qa_eval\all-MiniLM-L6-v2_word_chunk2000_overlap200_both\retrieval_eval_summary.json
13,BGE,BAAI/bge-base-en-v1.5,1000,0,word,both,5,passage: ,Represent this sentence for searching relevant passages: ,0.7771084337349398,0.7590361445783133,0.6058232931726907,0.5774096385542168,0.7590361445783133,30.138234939759037,0.712295180723,BAAI_bge-base-en-v1.5_word_chunk1000_overlap0_both,G:\LLM_for_DUNE\dune_gpt\benchmarking\matrix_runs\local_embedding_24combo_paired_qa_eval\BAAI_bge-base-en-v1.5_word_chunk1000_overlap0_both\retrieval_eval_summary.json
14,BGE,BAAI/bge-base-en-v1.5,1000,100,word,both,5,passage: ,Represent this sentence for searching relevant passages: ,0.7831325301204819,0.7530120481927711,0.6,0.5688755020080319,0.7530120481927711,28.488813253012047,0.708734939759,BAAI_bge-base-en-v1.5_word_chunk1000_overlap100_both,G:\LLM_for_DUNE\dune_gpt\benchmarking\matrix_runs\local_embedding_24combo_paired_qa_eval\BAAI_bge-base-en-v1.5_word_chunk1000_overlap100_both\retrieval_eval_summary.json
15,allMiniLM,sentence-transformers/all-MiniLM-L6-v2,2000,100,word,both,5,passage: ,passage: ,0.7771084337349398,0.7469879518072289,0.602309236947791,0.5819277108433735,0.7469879518072289,11.286867469879518,0.707144578313,all-MiniLM-L6-v2_word_chunk2000_overlap100_both,G:\LLM_for_DUNE\dune_gpt\benchmarking\matrix_runs\local_embedding_24combo_paired_qa_eval\all-MiniLM-L6-v2_word_chunk2000_overlap100_both\retrieval_eval_summary.json
16,MPNet,sentence-transformers/multi-qa-mpnet-base-dot-v1,2000,100,word,both,5,passage: ,passage: ,0.7831325301204819,0.7530120481927711,0.5873493975903614,0.5602409638554218,0.7530120481927711,27.620150602409637,0.705662650602,multi-qa-mpnet-base-dot-v1_word_chunk2000_overlap100_both,G:\LLM_for_DUNE\dune_gpt\benchmarking\matrix_runs\local_embedding_24combo_paired_qa_eval\multi-qa-mpnet-base-dot-v1_word_chunk2000_overlap100_both\retrieval_eval_summary.json
17,allMiniLM,sentence-transformers/all-MiniLM-L6-v2,2000,0,word,both,5,passage: ,passage: ,0.7771084337349398,0.7409638554216867,0.6039156626506024,0.5758032128514055,0.7409638554216867,11.08109638554217,0.703463855422,all-MiniLM-L6-v2_word_chunk2000_overlap0_both,G:\LLM_for_DUNE\dune_gpt\benchmarking\matrix_runs\local_embedding_24combo_paired_qa_eval\all-MiniLM-L6-v2_word_chunk2000_overlap0_both\retrieval_eval_summary.json
18,allMiniLM,sentence-transformers/all-MiniLM-L6-v2,1000,0,word,both,5,passage: ,passage: ,0.7831325301204819,0.7289156626506024,0.6069277108433734,0.5622489959839359,0.7289156626506024,13.301536144578312,0.697289156627,all-MiniLM-L6-v2_word_chunk1000_overlap0_both,G:\LLM_for_DUNE\dune_gpt\benchmarking\matrix_runs\local_embedding_24combo_paired_qa_eval\all-MiniLM-L6-v2_word_chunk1000_overlap0_both\retrieval_eval_summary.json
19,allMiniLM,sentence-transformers/all-MiniLM-L6-v2,1000,100,word,both,5,passage: ,passage: ,0.7771084337349398,0.7228915662650602,0.6054216867469878,0.5642570281124497,0.7228915662650602,11.378506024096385,0.693253012048,all-MiniLM-L6-v2_word_chunk1000_overlap100_both,G:\LLM_for_DUNE\dune_gpt\benchmarking\matrix_runs\local_embedding_24combo_paired_qa_eval\all-MiniLM-L6-v2_word_chunk1000_overlap100_both\retrieval_eval_summary.json
20,MPNet,sentence-transformers/multi-qa-mpnet-base-dot-v1,2000,0,word,both,5,passage: ,passage: ,0.7590361445783133,0.7409638554216867,0.5637550200803213,0.5496987951807228,0.7409638554216867,27.71298795180723,0.689608433735,multi-qa-mpnet-base-dot-v1_word_chunk2000_overlap0_both,G:\LLM_for_DUNE\dune_gpt\benchmarking\matrix_runs\local_embedding_24combo_paired_qa_eval\multi-qa-mpnet-base-dot-v1_word_chunk2000_overlap0_both\retrieval_eval_summary.json
21,allMiniLM,sentence-transformers/all-MiniLM-L6-v2,1000,200,word,both,5,passage: ,passage: ,0.7771084337349398,0.7228915662650602,0.5775100401606427,0.5373493975903616,0.7228915662650602,11.059457831325302,0.685060240964,all-MiniLM-L6-v2_word_chunk1000_overlap200_both,G:\LLM_for_DUNE\dune_gpt\benchmarking\matrix_runs\local_embedding_24combo_paired_qa_eval\all-MiniLM-L6-v2_word_chunk1000_overlap200_both\retrieval_eval_summary.json
22,MPNet,sentence-transformers/multi-qa-mpnet-base-dot-v1,1000,0,word,both,5,passage: ,passage: ,0.7590361445783133,0.7349397590361446,0.5623493975903616,0.5352409638554219,0.7349397590361446,27.817102409638554,0.684066265060,multi-qa-mpnet-base-dot-v1_word_chunk1000_overlap0_both,G:\LLM_for_DUNE\dune_gpt\benchmarking\matrix_runs\local_embedding_24combo_paired_qa_eval\multi-qa-mpnet-base-dot-v1_word_chunk1000_overlap0_both\retrieval_eval_summary.json
23,MPNet,sentence-transformers/multi-qa-mpnet-base-dot-v1,1000,100,word,both,5,passage: ,passage: ,0.7469879518072289,0.7108433734939759,0.5533132530120483,0.530421686746988,0.7108433734939759,27.904385542168676,0.668138554217,multi-qa-mpnet-base-dot-v1_word_chunk1000_overlap100_both,G:\LLM_for_DUNE\dune_gpt\benchmarking\matrix_runs\local_embedding_24combo_paired_qa_eval\multi-qa-mpnet-base-dot-v1_word_chunk1000_overlap100_both\retrieval_eval_summary.json
24,MPNet,sentence-transformers/multi-qa-mpnet-base-dot-v1,1000,200,word,both,5,passage: ,passage: ,0.7349397590361446,0.6987951807228916,0.543273092369478,0.5146586345381526,0.6987951807228916,28.554168674698793,0.655662650602,multi-qa-mpnet-base-dot-v1_word_chunk1000_overlap200_both,G:\LLM_for_DUNE\dune_gpt\benchmarking\matrix_runs\local_embedding_24combo_paired_qa_eval\multi-qa-mpnet-base-dot-v1_word_chunk1000_overlap200_both\retrieval_eval_summary.json
